"Family","Genus","Species","ID","Agei","Ri","Agecpt","Rcpt","Lcpt","L0p","R0p","Li_m","Li_sd","Li_q1","Li_q3","Biomass","Location","Observer"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_A125",0,NA,3,0.601504247,166,2.65,0.0285332965,2.65,2.80841216424467e-15,2.64999999999999,2.65000000000001,71.5,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_A125",1,0.339063416,3,0.601504247,166,2.65,0.0285332965,116.106294267893,8.28094494839632,97.4023773693131,129.102564231594,71.5,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_A125",2,0.475679667,3,0.601504247,166,2.65,0.0285332965,143.45933999743,4.2883299773412,133.473793320735,149.931996446446,71.5,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_A125",3,0.557221067,3,0.601504247,166,2.65,0.0285332965,158.29790308974,1.56032365634594,154.606135280591,160.616558273747,71.5,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_A129",0,NA,2,0.490037778,158,2.65,0.0285332965,2.65,2.4993551699338e-15,2.65,2.65,73.4,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_A129",1,0.360627231,2,0.490037778,158,2.65,0.0285332965,130.20833233242,5.48495363768862,117.52481496088,138.529139365649,73.4,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_A129",2,0.447552487,2,0.490037778,158,2.65,0.0285332965,149.21800152141,1.88760169714168,144.771012421482,151.995467925867,73.4,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_A132",0,0.030066593,5,0.638471842,155,2.65,0.0285332965,2.65,6.61029274418345e-15,2.64999999999998,2.65000000000001,74.5,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_A132",1,0.347286625,5,0.638471842,155,2.65,0.0285332965,99.8547066708813,5.9250509302184,85.7726165133978,108.714465798734,74.5,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_A132",2,0.435013474,5,0.638471842,155,2.65,0.0285332965,117.924903571604,4.53199018138517,107.026798904794,124.565452176606,74.5,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_A132",3,0.514825754,5,0.638471842,155,2.65,0.0285332965,133.142085323166,2.92914465882965,126.038216700727,137.366801808533,74.5,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_A132",4,0.567218501,5,0.638471842,155,2.65,0.0285332965,142.629274568242,1.74511595665925,138.376701283721,145.12288318257,74.5,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_A132",5,0.607665998,5,0.638471842,155,2.65,0.0285332965,149.721155762685,0.771862949062004,147.833961869834,150.816662395665,74.5,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_A135",0,NA,7,0.806505976,159,2.65,0.0285332965,2.65,3.93664219485208e-15,2.64999999999999,2.65000000000001,76.5,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_A135",1,0.338940998,7,0.806505976,159,2.65,0.0285332965,93.9226586796697,8.05546622779612,75.2797068960949,106.903318958605,76.5,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_A135",2,0.488142204,7,0.806505976,159,2.65,0.0285332965,117.537920887847,6.05169374300709,103.182230611408,126.790686881278,76.5,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_A135",3,0.56820468,7,0.806505976,159,2.65,0.0285332965,128.871579063021,4.69928207985198,117.670137088593,135.932486864822,76.5,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_A135",4,0.627887173,7,0.806505976,159,2.65,0.0285332965,136.867437902485,3.60380977424112,128.236057250716,142.224928059246,76.5,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_A135",5,0.689214166,7,0.806505976,159,2.65,0.0285332965,144.743443081742,2.41532791738311,138.916086338104,148.313512378928,76.5,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_A135",6,0.748290387,7,0.806505976,159,2.65,0.0285332965,152.04570739732,1.21975261703376,149.084408151418,153.832452794237,76.5,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_A135",7,0.785505976,7,0.806505976,159,2.65,0.0285332965,156.517338021353,0.444385507186358,155.434573781623,157.163546773461,76.5,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_A166",0,0.027,13,0.947935002,172,2.65,0.0285332965,2.65,6.11113534676637e-15,2.64999999999999,2.65000000000001,88.2,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_A166",1,0.356732393,13,0.947935002,172,2.65,0.0285332965,90.267402094442,7.71078911144589,72.2782096868056,102.168396942192,88.2,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_A166",2,0.462902068,13,0.947935002,172,2.65,0.0285332965,107.906171052776,6.95520260995191,91.4669820303117,118.425553179359,88.2,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_A166",3,0.534909012,13,0.947935002,172,2.65,0.0285332965,118.851537917141,6.21069152880191,104.067591542365,128.135949253675,88.2,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_A166",4,0.597278877,13,0.947935002,172,2.65,0.0285332965,127.813940166407,5.45499354813296,114.759453739093,135.894749726807,88.2,"Gambiers","Fabien Morat"
