"Family","Genus","Species","ID","Agei","Ri","Agecpt","Rcpt","Lcpt","L0p","R0p","Li_bayes","Li_freq","Biomass","Location","Observer"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","AB_SE_MO_03_16_001",0,0.02912044,2,0.286661047,64.067,2.65,0.0278418561666667,2.65,2.65,3.9,"Moorea","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","AB_SE_MO_03_16_001",1,0.219125535,2,0.286661047,64.067,2.65,0.0278418561666667,52.0419396206496,48.0156594316739,3.9,"Moorea","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","AB_SE_MO_03_16_001",2,0.260718803,2,0.286661047,64.067,2.65,0.0278418561666667,59.6020823211673,57.8999559816727,3.9,"Moorea","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","AB_SE_MO_03_16_002",0,0.024413111,2,0.261264719,61.315,2.65,0.0278418561666667,2.65,2.65,3.8,"Moorea","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","AB_SE_MO_03_16_002",1,0.206903359,2,0.261264719,61.315,2.65,0.0278418561666667,51.4035446802092,47.4349733603113,3.8,"Moorea","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","AB_SE_MO_03_16_002",2,0.237919484,2,0.261264719,61.315,2.65,0.0278418561666667,57.1730968071413,55.3441962098885,3.8,"Moorea","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","AB_SE_MO_03_16_003",0,NA,1,0.261476863,56.104,2.65,0.0278418561666667,NA,2.65,3,"Moorea","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","AB_SE_MO_03_16_003",1,0.219180291,1,0.261476863,56.104,2.65,0.0278418561666667,NA,46.5014339029761,3,"Moorea","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","AB_SE_MO_03_16_004",0,0.027658633,1,0.25031878,51.616,2.65,0.0278418561666667,NA,2.65,1.7,"Moorea","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","AB_SE_MO_03_16_004",1,0.199123078,1,0.25031878,51.616,2.65,0.0278418561666667,NA,40.5396871549582,1.7,"Moorea","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","AB_SE_MO_03_16_005",0,0.02879236,1,0.227521809,50.584,2.65,0.0278418561666667,NA,2.65,2.1,"Moorea","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","AB_SE_MO_03_16_005",1,0.193507106,1,0.227521809,50.584,2.65,0.0278418561666667,NA,42.3796936968305,2.1,"Moorea","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_A125",0,NA,3,0.601504247,166,2.65,0.0278418561666667,2.65,2.65,71.5,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_A125",1,0.339063416,3,0.601504247,166,2.65,0.0278418561666667,112.107431078731,88.6875089713644,71.5,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_A125",2,0.475679667,3,0.601504247,166,2.65,0.0278418561666667,141.399779802621,128.61345114609,71.5,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_A125",3,0.557221067,3,0.601504247,166,2.65,0.0278418561666667,157.55157393468,152.783904089752,71.5,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_A129",0,NA,2,0.490037778,158,2.65,0.0278418561666667,2.65,2.65,73.4,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_A129",1,0.360627231,2,0.490037778,158,2.65,0.0278418561666667,127.552857765521,111.01708128349,73.4,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_A129",2,0.447552487,2,0.490037778,158,2.65,0.0278418561666667,148.309924990551,142.392165081405,73.4,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_A132",0,0.030066593,5,0.638471842,155,2.65,0.0278418561666667,2.65,2.65,74.5,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_A132",1,0.347286625,5,0.638471842,155,2.65,0.0278418561666667,96.883659078043,81.6172911785002,74.5,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_A132",2,0.435013474,5,0.638471842,155,2.65,0.0278418561666667,115.671475070431,103.642058774015,74.5,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_A132",3,0.514825754,5,0.638471842,155,2.65,0.0278418561666667,131.695605760756,123.747631191963,74.5,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_A132",4,0.567218501,5,0.638471842,155,2.65,0.0278418561666667,141.771093739222,136.975957383541,74.5,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_A132",5,0.607665998,5,0.638471842,155,2.65,0.0278418561666667,149.342750824252,147.202918347918,74.5,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_A135",0,NA,7,0.806505976,159,2.65,0.0278418561666667,2.65,2.65,76.5,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_A135",1,0.338940998,7,0.806505976,159,2.65,0.0278418561666667,90.068422823979,67.3307522452877,76.5,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_A135",2,0.488142204,7,0.806505976,159,2.65,0.0278418561666667,114.645377182485,96.9890898114615,76.5,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_A135",3,0.56820468,7,0.806505976,159,2.65,0.0278418561666667,126.630141584762,112.722879977656,76.5,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_A135",4,0.627887173,7,0.806505976,159,2.65,0.0278418561666667,135.151686932105,124.384635694816,76.5,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_A135",5,0.689214166,7,0.806505976,159,2.65,0.0278418561666667,143.595871666981,136.31481341275,76.5,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_A135",6,0.748290387,7,0.806505976,159,2.65,0.0278418561666667,151.467368031898,147.761057414397,76.5,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_A135",7,0.785505976,7,0.806505976,159,2.65,0.0278418561666667,156.306912919558,154.950235340557,76.5,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_A166",0,0.027,13,0.947935002,172,2.65,0.0278418561666667,2.65,2.65,88.2,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_A166",1,0.356732393,13,0.947935002,172,2.65,0.0278418561666667,86.3580869855092,66.8241460081811,88.2,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_A166",2,0.462902068,13,0.947935002,172,2.65,0.0278418561666667,104.407032981916,86.2691452820267,88.2,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_A166",3,0.534909012,13,0.947935002,172,2.65,0.0278418561666667,115.74144424772,99.2806227594628,88.2,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_A166",4,0.597278877,13,0.947935002,172,2.65,0.0278418561666667,125.092441242832,110.454247109513,88.2,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_A166",5,0.644818334,13,0.947935002,172,2.65,0.0278418561666667,131.970939470613,118.917477675297,88.2,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_A166",6,0.680956956,13,0.947935002,172,2.65,0.0278418561666667,137.071152904517,125.322628310593,88.2,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_A166",7,0.724637615,13,0.947935002,172,2.65,0.0278418561666667,143.100300733325,133.033900471897,88.2,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_A166",8,0.762439732,13,0.947935002,172,2.65,0.0278418561666667,148.207457977379,139.681906275549,88.2,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_A166",9,0.797795071,13,0.947935002,172,2.65,0.0278418561666667,152.897854554612,145.879384358914,88.2,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_A166",10,0.827341644,13,0.947935002,172,2.65,0.0278418561666667,156.757593087469,151.044328847772,88.2,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_A166",11,0.863742194,13,0.947935002,172,2.65,0.0278418561666667,161.441812297451,157.390262065846,88.2,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_A166",12,0.891055194,13,0.947935002,172,2.65,0.0278418561666667,164.907825847554,162.13996457051,88.2,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_A166",13,0.922439904,13,0.947935002,172,2.65,0.0278418561666667,168.841485453425,167.585570997551,88.2,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_A167",0,NA,9,0.782894641,151,2.65,0.0278418561666667,2.65,2.65,73.4,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_A167",1,0.263136847,9,0.782894641,151,2.65,0.0278418561666667,73.8387473519643,51.2205059648656,73.4,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_A167",2,0.380136847,9,0.782894641,151,2.65,0.0278418561666667,94.3724273865833,74.2120675025829,73.4,"Gambiers","Fabien Morat"
"Pomacentridae","Abudefduf","Abudefduf sexfasciatus","GAM18_A167",3,0.472136847,9,0.782894641,151,2.65,0.0278418561666667,108.807451907934,92.0223604454025,73.4,"Gambiers","Fabien Morat"
